Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
013EE3CD  push aminstantservice-8.50.2.0.15305C4                            "query_id"
013EE41E  push aminstantservice-8.50.2.0.15305D0                            "error"
013EE5BD  push aminstantservice-8.50.2.0.1530644                            "%s ( %s );"
013EE9E0  mov eax,aminstantservice-8.50.2.0.1530828                         "ApiRequestException"
013EEA82  push aminstantservice-8.50.2.0.152DDB4                            "invalid map/set<T> iterator"
013EEFEC  push aminstantservice-8.50.2.0.15307B4                            "application/javascript"
013EF01F  push aminstantservice-8.50.2.0.15307CC                            "text/plain"
013EF028  push aminstantservice-8.50.2.0.15307D8                            "text/xml"
013EF031  push aminstantservice-8.50.2.0.15307E4                            "application/json"
013EF03A  push aminstantservice-8.50.2.0.15307F8                            "application/javascript"
013EF4A9  push aminstantservice-8.50.2.0.1530730                            "init"
013EF4FE  push aminstantservice-8.50.2.0.1530738                            "listGames"
013EF54A  push aminstantservice-8.50.2.0.1530744                            "play"
013EF596  push aminstantservice-8.50.2.0.153074C                            "preload"
013EF5E2  push aminstantservice-8.50.2.0.1530754                            "install"
013EF62E  push aminstantservice-8.50.2.0.153075C                            "uninstall"
013EF67A  push aminstantservice-8.50.2.0.1530768                            "listInstallations"
013EF6C6  push aminstantservice-8.50.2.0.153077C                            "getInfo"
013EF712  push aminstantservice-8.50.2.0.1530784                            "setSettings"
013EF75E  push aminstantservice-8.50.2.0.1530790                            "sendPing"
013EF7AA  push aminstantservice-8.50.2.0.153079C                            "cleanGame"
013EF7F6  push aminstantservice-8.50.2.0.15307A8                            "getGameInfo"
013EFC1F  push aminstantservice-8.50.2.0.1530650                            "notFound"
013EFC4A  push aminstantservice-8.50.2.0.153065C                            "text/plain"
013EFC74  push aminstantservice-8.50.2.0.1530668                            "text/xml"
013EFC9F  push aminstantservice-8.50.2.0.1530674                            "application/json"
013EFCCA  push aminstantservice-8.50.2.0.1530688                            "application/javascript"
013EFEC3  push aminstantservice-8.50.2.0.15306A4                            "v0"
013EFF1E  push aminstantservice-8.50.2.0.15306A8                            "init"
013EFF39  push aminstantservice-8.50.2.0.15306B0                            "init."
013EFF4D  push aminstantservice-8.50.2.0.15306B8                            "Malformed URL: no version specified for 'init'"
013F01B3  push aminstantservice-8.50.2.0.153071C                            "Invalid api version"
013F01E1  push aminstantservice-8.50.2.0.15306E8                            "Malformed URL: expecting version number in the URL"
013F12C1  push aminstantservice-8.50.2.0.152F5D4                            "list<T> too long"
013F1AE1  mov esi,aminstantservice-8.50.2.0.1530840                         "unknown"
013F1AF7  mov esi,aminstantservice-8.50.2.0.1530848                         "uninitialized"
013F1B00  mov esi,aminstantservice-8.50.2.0.1530858                         "installing"
013F1B09  mov esi,aminstantservice-8.50.2.0.1530864                         "completed"
013F1B12  mov esi,aminstantservice-8.50.2.0.1530870                         "stopped"
013F1B1B  mov esi,aminstantservice-8.50.2.0.1530878                         "failed"
013F29E4  push aminstantservice-8.50.2.0.1530880                            ".json"
013F2B64  push aminstantservice-8.50.2.0.1530888                            "rfs_index"
013F2C0D  push aminstantservice-8.50.2.0.1530894                            "enable_profile"
013F2C45  push aminstantservice-8.50.2.0.15308A4                            "download_all"
013F3373  push aminstantservice-8.50.2.0.152F5D4                            "list<T> too long"
013F39DA  push aminstantservice-8.50.2.0.15308B4                            "AmInstantDownload -> %s downloaded correctly (cid=%s)"
013F44F2  push aminstantservice-8.50.2.0.152DDB4                            "invalid map/set<T> iterator"
013F49C0  push aminstantservice-8.50.2.0.15308F0                            "AmInstantDownload -> histogram created (cid=%s, starttime=%s seconds, bandwidth=%s b/s)"
013F50FA  push aminstantservice-8.50.2.0.153097C                            "apps"
013F58E7  push aminstantservice-8.50.2.0.152DDA0                            "map/set<T> too long"
013F5B0E  push aminstantservice-8.50.2.0.152DDB4                            "invalid map/set<T> iterator"
013F5F3C  push aminstantservice-8.50.2.0.1530984                            ".json"
013F622A  push aminstantservice-8.50.2.0.153098C                            "rfs_index_exists"
013F626D  push aminstantservice-8.50.2.0.15309A0                            "rfs_index_mtime"
013F62AD  push aminstantservice-8.50.2.0.15309B0                            "rfs_index_size"
013F644A  push aminstantservice-8.50.2.0.15309C0                            "rfs_index_compatible"
013F64C6  push aminstantservice-8.50.2.0.15309D8                            "dyn_data_exists"
013F6509  push aminstantservice-8.50.2.0.15309E8                            "dyn_data_mtime"
013F6547  push aminstantservice-8.50.2.0.15309F8                            "dyn_data_size"
013F65D3  push aminstantservice-8.50.2.0.1530A08                            ".json"
013F666D  push aminstantservice-8.50.2.0.1530A10                            "stats_exists"
013F66AD  push aminstantservice-8.50.2.0.1530A20                            "stats_mtime"
013F66EB  push aminstantservice-8.50.2.0.1530A2C                            "stats_size"
013F67F8  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
013F691B  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
013F7582  push aminstantservice-8.50.2.0.1530BBC                            "total_execution_time"
013F75CA  push aminstantservice-8.50.2.0.1530BD4                            "total_executions"
013F7602  push aminstantservice-8.50.2.0.1530BE8                            "player_id"
013F7635  push aminstantservice-8.50.2.0.1530BF4                            "content_id"
013F7671  push aminstantservice-8.50.2.0.1530C00                            "sent"
013F76AF  push aminstantservice-8.50.2.0.1530C08                            "timestamp"
013F76F5  push aminstantservice-8.50.2.0.1530C14                            "game_id"
013F7BE1  push aminstantservice-8.50.2.0.152DDA0                            "map/set<T> too long"
013F7FA7  push aminstantservice-8.50.2.0.152DDB4                            "invalid map/set<T> iterator"
013F8458  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
013F8759  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
013F8887  push aminstantservice-8.50.2.0.1530A50                            "db_signature"
013F88BD  push aminstantservice-8.50.2.0.1530A60                            "data"
013F8A2F  push aminstantservice-8.50.2.0.1530B1C                            "last_execution_time"
013F8A6D  push aminstantservice-8.50.2.0.1530B40                            "logname"
013F8A7B  push aminstantservice-8.50.2.0.1530B30                            "gamePlayTime"
013F8AA7  push aminstantservice-8.50.2.0.1530B48                            "device_id"
013F8AE0  push aminstantservice-8.50.2.0.1530B54                            "db_signature"
013F8B19  push aminstantservice-8.50.2.0.1530B64                            "sent"
013F8B66  push aminstantservice-8.50.2.0.1530B70                            "Content-Type: application/json; charset=utf-8\r\nContent-Length: %d"
013F8BC2  push aminstantservice-8.50.2.0.1530BB4                            "POST"
013F9655  push aminstantservice-8.50.2.0.1530A68                            "db_signature"
013F96BF  push aminstantservice-8.50.2.0.1530A78                            "data"
013F9730  push aminstantservice-8.50.2.0.1530A80                            "game_id"
013F9785  push aminstantservice-8.50.2.0.1530A88                            "game_id"
013F97D9  push aminstantservice-8.50.2.0.1530A90                            "player_id"
013F97EA  push aminstantservice-8.50.2.0.1530A9C                            "total_executions"
013F9803  push aminstantservice-8.50.2.0.1530AB0                            "total_execution_time"
013F9953  push aminstantservice-8.50.2.0.1530AC8                            "sent"
013F9996  push aminstantservice-8.50.2.0.1530AD0                            "timestamp"
013F99E1  push aminstantservice-8.50.2.0.1530ADC                            "content_id"
013F9BE0  push aminstantservice-8.50.2.0.1530AE8                            "json"
013F9CE7  push aminstantservice-8.50.2.0.1530AF0                            "total_executions"
013F9D00  push aminstantservice-8.50.2.0.1530B04                            "total_execution_time"
013FA3BC  push aminstantservice-8.50.2.0.1530D64                            "application/octet-stream"
013FA3D2  push aminstantservice-8.50.2.0.1530D80                            "Content-Type"
013FA5FE  push aminstantservice-8.50.2.0.1530C1C                            "access.lock"
013FA6DD  push aminstantservice-8.50.2.0.1530C28                            "prof"
013FA756  push aminstantservice-8.50.2.0.1530C30                            ".json"
013FA7DC  push aminstantservice-8.50.2.0.1530C38                            "total_executions"
013FA813  push aminstantservice-8.50.2.0.1530C4C                            "total_executions"
013FA884  push aminstantservice-8.50.2.0.1530C60                            "total_execution_time"
013FA8B5  push aminstantservice-8.50.2.0.1530C78                            "total_execution_time"
013FA931  push aminstantservice-8.50.2.0.1530C90                            "content_id"
013FA95C  push aminstantservice-8.50.2.0.1530C9C                            "content_id"
013FA9E4  push aminstantservice-8.50.2.0.1530CA8                            "offering"
013FAA0F  push aminstantservice-8.50.2.0.1530CB4                            "offering"
013FAA97  push aminstantservice-8.50.2.0.1530CC0                            "game_version"
013FAAC2  push aminstantservice-8.50.2.0.1530CD0                            "game_version"
013FAB4A  push aminstantservice-8.50.2.0.1530CE0                            "streaming_url"
013FAB75  push aminstantservice-8.50.2.0.1530CF0                            "streaming_url"
013FABF5  push aminstantservice-8.50.2.0.1530D00                            "machine_id"
013FACE5  push aminstantservice-8.50.2.0.1530D0C                            "Profile '%s' sent correctly"
013FAD05  push aminstantservice-8.50.2.0.1530D28                            "Error sending profile '%s'"
013FAD9C  push aminstantservice-8.50.2.0.1530D44                            "Exception while sending profile"
013FAEC6  push aminstantservice-8.50.2.0.1530D90                            "wer.dll"
013FAEEA  push aminstantservice-8.50.2.0.1530D98                            "WerAddExcludedApplication"
013FAEF8  push aminstantservice-8.50.2.0.1530DB4                            "WerRemoveExcludedApplication"
013FB2C2  lea eax,dword ptr ss:[esp+1008C]                                  "&;"
013FB345  push aminstantservice-8.50.2.0.1530E7C                            "--wait-am-end %s"
013FB52B  mov ecx,dword ptr ss:[esp+1008C]                                  "&;"
013FB5D3  push aminstantservice-8.50.2.0.1530DD4                            "ACTIVEMARK_AUTH_TOKEN="
013FB630  mov eax,aminstantservice-8.50.2.0.1530DEC                         "ACTIVEMARK_STREAMING_PROFILER=true"
013FB637  mov eax,aminstantservice-8.50.2.0.1530E10                         "ACTIVEMARK_STREAMING_PROFILER=false"
013FB666  push aminstantservice-8.50.2.0.1530E38                            "ACTIVEMARK_LICENSE_SERVER_URL=http://www.gamehouse.com/amlicense"
013FB9F8  push aminstantservice-8.50.2.0.1530F6C                            "api_version"
013FBA1A  push aminstantservice-8.50.2.0.1530F68                            "v%d"
013FBA61  push aminstantservice-8.50.2.0.1530F7C                            "api_port"
013FBA82  push aminstantservice-8.50.2.0.1530F78                            "%d"
013FBACF  push aminstantservice-8.50.2.0.1530FB4                            "service_version"
013FBADD  push aminstantservice-8.50.2.0.1530F88                            "ActiveMARK[R] v8.50.2 [ActiveMARK[R] R8.50]"
013FBB06  push aminstantservice-8.50.2.0.1530FC4                            "device_id"
013FBB3B  push aminstantservice-8.50.2.0.1530FD4                            "uptime"
013FBB5C  push aminstantservice-8.50.2.0.1530FD0                            "%d"
013FBBA7  push aminstantservice-8.50.2.0.1530FDC                            "init"
013FBBBC  push aminstantservice-8.50.2.0.1530FE4                            "play"
013FBBCA  push aminstantservice-8.50.2.0.1530FEC                            "listGames"
013FBBD8  push aminstantservice-8.50.2.0.1530FF8                            "install"
013FBBE6  push aminstantservice-8.50.2.0.1531000                            "uninstall"
013FBBF4  push aminstantservice-8.50.2.0.153100C                            "listInstallations"
013FBC02  push aminstantservice-8.50.2.0.1531020                            "preload"
013FBC10  push aminstantservice-8.50.2.0.1531028                            "setSettings"
013FBC1E  push aminstantservice-8.50.2.0.1531034                            "getInfo"
013FBC2C  push aminstantservice-8.50.2.0.153103C                            "sendPing"
013FBC3A  push aminstantservice-8.50.2.0.1531048                            "supported_api"
013FBC77  push aminstantservice-8.50.2.0.1531058                            "js"
013FBC8D  push aminstantservice-8.50.2.0.153105C                            "json"
013FBC9B  push aminstantservice-8.50.2.0.1531064                            "supported_formats"
013FBD41  push aminstantservice-8.50.2.0.1531564                            "error"
013FBF41  push aminstantservice-8.50.2.0.15314A4                            "disk_quota"
013FBF83  push aminstantservice-8.50.2.0.15314B0                            "installation_root_path"
013FBFC6  push aminstantservice-8.50.2.0.15314C8                            "quota_free_space"
013FC011  push aminstantservice-8.50.2.0.15314DC                            "disk_free_space"
013FC054  push aminstantservice-8.50.2.0.15314EC                            "disk_total_space"
013FC0F1  push aminstantservice-8.50.2.0.1531528                            "content_id"
013FC1D6  push aminstantservice-8.50.2.0.153108C                            "true"
013FC201  push aminstantservice-8.50.2.0.1531078                            "include_uninstalled"
013FC2BF  push aminstantservice-8.50.2.0.1531094                            "invalid_arguments"
013FC34D  push aminstantservice-8.50.2.0.15310A8                            "games"
013FC3B6  push aminstantservice-8.50.2.0.15310B0                            "count"
013FC48D  push aminstantservice-8.50.2.0.15310CC                            "true"
013FC49F  push aminstantservice-8.50.2.0.15310B8                            "false"
013FC4B8  push aminstantservice-8.50.2.0.15310C0                            "is_trial"
013FC4E7  push aminstantservice-8.50.2.0.15310D8                            "game_id"
013FC516  push aminstantservice-8.50.2.0.15310E0                            "player_id"
013FC548  push aminstantservice-8.50.2.0.15310EC                            "auth_token"
013FC577  push aminstantservice-8.50.2.0.15310F8                            "content_id"
013FC7CE  push aminstantservice-8.50.2.0.1531104                            "cannot_execute_application"
013FC8BB  push aminstantservice-8.50.2.0.1531124                            " \t\r\n"
013FC8E6  push aminstantservice-8.50.2.0.1531120                            "rfs"
013FC9A0  push aminstantservice-8.50.2.0.1531140                            " \t\r\n"
013FC9CA  push aminstantservice-8.50.2.0.153112C                            "installation_title"
013FCA7B  push aminstantservice-8.50.2.0.1531154                            " \t\r\n"
013FCAA2  push aminstantservice-8.50.2.0.1531148                            "content_id"
013FCB4D  push aminstantservice-8.50.2.0.1531168                            " \t\r\n"
013FCB7F  push aminstantservice-8.50.2.0.153115C                            "tracking"
013FCC2D  push aminstantservice-8.50.2.0.1531190                            "error_message"
013FCC3E  push aminstantservice-8.50.2.0.1531170                            "the download rfs URL is empty"
013FCC75  push aminstantservice-8.50.2.0.15311A0                            "invalid_url"
013FCD52  push aminstantservice-8.50.2.0.15311DC                            "error_message"
013FCD63  push aminstantservice-8.50.2.0.15311AC                            "expecting http:// or https:// on the rfs URL"
013FCD9A  push aminstantservice-8.50.2.0.15311EC                            "unsupported_protocol"
013FCE91  push aminstantservice-8.50.2.0.1531204                            "installation_already_running"
013FCF5E  push aminstantservice-8.50.2.0.1531224                            "game_already_installed"
013FD019  push aminstantservice-8.50.2.0.153123C                            "unknown_error"
013FD16D  push aminstantservice-8.50.2.0.1531250                            " \t\r\n"
013FD19E  push aminstantservice-8.50.2.0.153124C                            "rfs"
013FD255  push aminstantservice-8.50.2.0.153126C                            " \t\r\n"
013FD27F  push aminstantservice-8.50.2.0.1531258                            "installation_title"
013FD330  push aminstantservice-8.50.2.0.1531280                            " \t\r\n"
013FD35A  push aminstantservice-8.50.2.0.1531274                            "content_id"
013FD40B  push aminstantservice-8.50.2.0.1531294                            " \t\r\n"
013FD435  push aminstantservice-8.50.2.0.1531288                            "tracking"
013FD4E6  push aminstantservice-8.50.2.0.15312AC                            " \t\r\n"
013FD50D  push aminstantservice-8.50.2.0.153129C                            "play_likelihood"
013FD5CA  push aminstantservice-8.50.2.0.15312D4                            "error_message"
013FD5DB  push aminstantservice-8.50.2.0.15312B4                            "the download rfs URL is empty"
013FD612  push aminstantservice-8.50.2.0.15312E4                            "invalid_url"
013FD6D3  push aminstantservice-8.50.2.0.15312F0                            "http://"
013FD703  push aminstantservice-8.50.2.0.15312F8                            "https://"
013FD78D  push aminstantservice-8.50.2.0.1531334                            "error_message"
013FD79E  push aminstantservice-8.50.2.0.1531304                            "expecting http:// or https:// on the rfs URL"
013FD7D5  push aminstantservice-8.50.2.0.1531344                            "unsupported_protocol"
013FD846  push aminstantservice-8.50.2.0.153135C                            "security_domain_violation"
013FD911  push aminstantservice-8.50.2.0.1531378                            "installation_already_running"
013FD99B  push aminstantservice-8.50.2.0.1531398                            "game_already_installed"
013FD9C5  push aminstantservice-8.50.2.0.15313B0                            "download_not_scheduled"
013FDABB  push aminstantservice-8.50.2.0.153150C                            " \t\r\n"
013FDAE3  push aminstantservice-8.50.2.0.1531500                            "disk_quota"
013FDC1C  push aminstantservice-8.50.2.0.1531514                            "settings_error"
013FDD2B  push aminstantservice-8.50.2.0.1531540                            " \t\r\n"
013FDD53  push aminstantservice-8.50.2.0.1531534                            "content_id"
013FDE0A  push aminstantservice-8.50.2.0.1531548                            "filter"
013FDE8A  push aminstantservice-8.50.2.0.1531550                            "get_game_info_error"
013FDFDB  push aminstantservice-8.50.2.0.15313C8                            "content_id"
013FE0FF  push aminstantservice-8.50.2.0.15313D4                            "uninstall_failed"
013FE1E1  push aminstantservice-8.50.2.0.15313E8                            "installations"
013FE2F5  push aminstantservice-8.50.2.0.15313F8                            "content_id"
013FE372  push aminstantservice-8.50.2.0.1531404                            "installation_title"
013FE3AA  push aminstantservice-8.50.2.0.1531418                            "status"
013FE3DF  push aminstantservice-8.50.2.0.1531420                            "progress"
013FE425  push aminstantservice-8.50.2.0.153142C                            "start_time_utc"
013FE468  push aminstantservice-8.50.2.0.153143C                            "duration"
013FE4B3  push aminstantservice-8.50.2.0.1531448                            "speed"
013FE4F1  push aminstantservice-8.50.2.0.1531450                            "play_likelihood"
013FE536  push aminstantservice-8.50.2.0.1531460                            "is_preload"
013FE5B8  push aminstantservice-8.50.2.0.153146C                            "count"
013FE5FB  push aminstantservice-8.50.2.0.1531474                            "installations"
013FE644  push aminstantservice-8.50.2.0.153149C                            "error"
013FE652  push aminstantservice-8.50.2.0.1531484                            "not_enough_free_space"
013FE727  push aminstantservice-8.50.2.0.1531524                            "url"
013FE88F  push aminstantservice-8.50.2.0.1530E9C                            "security_domain_violation"
013FE94D  push aminstantservice-8.50.2.0.1530EB8                            "unknown_error"
013FE9A6  push aminstantservice-8.50.2.0.1530EC8                            "unknown_error"
013FEA08  push aminstantservice-8.50.2.0.1530ED8                            "unknown_error"
013FEA61  push aminstantservice-8.50.2.0.1530EE8                            "unknown_error"
013FEAC3  push aminstantservice-8.50.2.0.1530EF8                            "unknown_error"
013FEB25  push aminstantservice-8.50.2.0.1530F08                            "unknown_error"
013FEB87  push aminstantservice-8.50.2.0.1530F18                            "unknown_error"
013FEBE9  push aminstantservice-8.50.2.0.1530F28                            "unknown_error"
013FEC42  push aminstantservice-8.50.2.0.1530F38                            "unknown_error"
013FEC9B  push aminstantservice-8.50.2.0.1530F48                            "unknown_error"
013FECF1  push aminstantservice-8.50.2.0.1530F58                            "unknown_error"
013FEE88  push aminstantservice-8.50.2.0.1531598                            ".json"
013FF4A9  push aminstantservice-8.50.2.0.152F154                            "deque<T> too long"
013FFA81  push aminstantservice-8.50.2.0.15315A4                            "logname"
013FFAF2  push aminstantservice-8.50.2.0.15315AC                            "component"
013FFB62  push aminstantservice-8.50.2.0.15315C0                            "component"
013FFB6C  push aminstantservice-8.50.2.0.15315B8                            "logname"
013FFBAA  push aminstantservice-8.50.2.0.15315CC                            "am-%s"
013FFBFD  push aminstantservice-8.50.2.0.15315D4                            "logname"
013FFC07  push aminstantservice-8.50.2.0.15315DC                            "am-generic"
013FFD70  push aminstantservice-8.50.2.0.15315E8                            "application/json"
013FFD86  push aminstantservice-8.50.2.0.15315FC                            "Content-Type"
01400273  push aminstantservice-8.50.2.0.1531610                            "Software\\Microsoft\\Windows\\CurrentVersion"
014002CC  push aminstantservice-8.50.2.0.153163C                            "ProgramFilesDir"
01400303  push aminstantservice-8.50.2.0.153164C                            "activeMARK"
0140038D  push aminstantservice-8.50.2.0.1531658                            "activeMARK"
014005DB  push aminstantservice-8.50.2.0.1531670                            "streaming"
014007DB  push aminstantservice-8.50.2.0.153167C                            "stats"
014009DB  push aminstantservice-8.50.2.0.153168C                            "dynamicdata"
01400BDB  push aminstantservice-8.50.2.0.1531698                            "instant"
01400CDB  push aminstantservice-8.50.2.0.1531724                            "Software\\Microsoft\\Windows\\CurrentVersion\\Internet Settings"
01400D03  push aminstantservice-8.50.2.0.1531760                            "EnableAutodial"
01400D1A  push aminstantservice-8.50.2.0.1531770                            "NoNetAutodial"
01400D6B  push aminstantservice-8.50.2.0.1531780                            "Software\\Microsoft\\Windows\\CurrentVersion\\Internet Settings"
01400DB8  push aminstantservice-8.50.2.0.15317BC                            "EnableAutodial"
01400DD2  push aminstantservice-8.50.2.0.15317CC                            "NoNetAutodial"
014010A0  push aminstantservice-8.50.2.0.15316B0                            "Internet HTTP Request"
01402407  push aminstantservice-8.50.2.0.152DDA0                            "map/set<T> too long"
014031CE  push aminstantservice-8.50.2.0.152DDB4                            "invalid map/set<T> iterator"
01403DAA  push aminstantservice-8.50.2.0.152DDA0                            "map/set<T> too long"
01404110  mov eax,aminstantservice-8.50.2.0.15318CC                         "AmRfsIndex"
01404A73  push aminstantservice-8.50.2.0.1531840                            "AMRFSIDX"
01404E22  push aminstantservice-8.50.2.0.152DDB4                            "invalid map/set<T> iterator"
01405662  push aminstantservice-8.50.2.0.153184C                            "AMRFSIDX"
01405C27  push aminstantservice-8.50.2.0.152DDB4                            "invalid map/set<T> iterator"
01406566  push aminstantservice-8.50.2.0.15317E0                            "Could not open rfs information file at: %s"
0140694A  mov eax,aminstantservice-8.50.2.0.15319C0                         "AMRFSPKG"
01406B31  mov eax,dword ptr ds:[15318DC]                                    "AMRFSPKG"
01406B38  mov ecx,dword ptr ds:[15318E0]                                    "SPKG"
01407820  push aminstantservice-8.50.2.0.15318E8                            "%s-%s-%s.rfsindex"
01407CF9  push aminstantservice-8.50.2.0.153198C                            "http://"
01407D2C  push aminstantservice-8.50.2.0.1531994                            "https://"
014088C7  push aminstantservice-8.50.2.0.152DDA0                            "map/set<T> too long"
01408C10  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
01408D0E  push aminstantservice-8.50.2.0.152DDB4                            "invalid map/set<T> iterator"
0140912B  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
014093CA  push aminstantservice-8.50.2.0.1531A28                            "Stopping downloader..."
01409407  push aminstantservice-8.50.2.0.1531A40                            "Downloader stopped!"
01409663  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
0140A511  push aminstantservice-8.50.2.0.1531A04                            "Starting downloader [%d threads]..."
0140A641  push aminstantservice-8.50.2.0.152F5D4                            "list<T> too long"
0140AF53  push aminstantservice-8.50.2.0.152F5D4                            "list<T> too long"
0140B3C5  push aminstantservice-8.50.2.0.152F5D4                            "list<T> too long"
0140B9C7  push aminstantservice-8.50.2.0.152DDA0                            "map/set<T> too long"
0140BC1E  push aminstantservice-8.50.2.0.152DDB4                            "invalid map/set<T> iterator"
0140C217  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
0140C43B  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
0140C4E2  push aminstantservice-8.50.2.0.152F5D4                            "list<T> too long"
0140CF19  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
0140CFE5  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
0140D234  push aminstantservice-8.50.2.0.152DDA0                            "map/set<T> too long"
0140DBA1  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
0140E47E  push aminstantservice-8.50.2.0.152DDA0                            "map/set<T> too long"
0140F63D  push aminstantservice-8.50.2.0.152F5D4                            "list<T> too long"
0140F88B  push aminstantservice-8.50.2.0.152F5D4                            "list<T> too long"
0140F939  push aminstantservice-8.50.2.0.152F5D4                            "list<T> too long"
01411CC4  mov dword ptr ss:[esp+28],aminstantservice-8.50.2.0.15321F4       "ios_base::badbit set"
01411D05  mov dword ptr ss:[esp+28],aminstantservice-8.50.2.0.15321DC       "ios_base::failbit set"
01411D41  mov dword ptr ss:[esp+28],aminstantservice-8.50.2.0.15321C4       "ios_base::eofbit set"
01413690  mov eax,aminstantservice-8.50.2.0.1532224                         "ustring"
01413851  push aminstantservice-8.50.2.0.153210C                            "Unsupported encoding"
01413AE9  push aminstantservice-8.50.2.0.1532140                            "Index out of bounds"
01413B57  push aminstantservice-8.50.2.0.1532154                            "Index out of bounds"
01413F16  push aminstantservice-8.50.2.0.153217C                            "Encoding not supported!"
01414560  mov eax,aminstantservice-8.50.2.0.1532250                         "AmThread"
0141497D  push aminstantservice-8.50.2.0.1532260                            "Unable to initialize WINSOCK\n"
01414CE5  push aminstantservice-8.50.2.0.1532290                            "c:\\Users\\build\\vcs-x86-nt-msvc\\dev\\activemark6\\release\\8.50\\amlib\\src\\tcpip.cxx"
01415D7A  push aminstantservice-8.50.2.0.153237C                            "\\\\?\\"
01415E43  push aminstantservice-8.50.2.0.1532384                            "\\\\.\\"
0141620A  push aminstantservice-8.50.2.0.153262C                            "\\\\?\\"
01416982  push aminstantservice-8.50.2.0.15323D4                            "\\\\"
01417505  mov dword ptr ss:[esp+30],aminstantservice-8.50.2.0.15326F4       "bad locale name"
01417961  push aminstantservice-8.50.2.0.1532704                            "bad cast"
01417E21  push aminstantservice-8.50.2.0.1532704                            "bad cast"
01418E80  mov eax,aminstantservice-8.50.2.0.1532768                         "AmPathUtils"
01418FD3  push aminstantservice-8.50.2.0.15324F0                            "Could not retrieve a temporal path"
01419388  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
014194A8  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
01419669  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
014196E9  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
01419EEC  push aminstantservice-8.50.2.0.1532634                            ".."
01419F2F  push aminstantservice-8.50.2.0.1532638                            ".."
0141A373  push aminstantservice-8.50.2.0.1532454                            "Cannot combine 'Path' + 'Absolute Path'"
0141A413  push aminstantservice-8.50.2.0.153247C                            "Cannot combine paths on different drives"
0141AD75  push aminstantservice-8.50.2.0.15324C8                            "Cannot get current working directory"
0141B081  push aminstantservice-8.50.2.0.15323DC                            "First parameter is not an absolute path"
0141B6F5  push aminstantservice-8.50.2.0.15324B0                            L"rb"
0141B909  push aminstantservice-8.50.2.0.152DD78                            "string too long"
0141BB3D  mov esi,aminstantservice-8.50.2.0.15324BC                         ".."
0141C47B  push aminstantservice-8.50.2.0.1532558                            L"rb"
0141C498  push aminstantservice-8.50.2.0.1532560                            L"wb"
0141C695  push aminstantservice-8.50.2.0.1532580                            L"rb"
0141C7B4  push aminstantservice-8.50.2.0.1532588                            "%02x%02x%02x%02x%02x%02x%02x%02x%02x%02x%02x%02x%02x%02x%02x%02x"
0141C8FC  push aminstantservice-8.50.2.0.15323A4                            "Cannot get full path"
0141C960  push aminstantservice-8.50.2.0.15323BC                            "Cannot get full path"
0141D418  push aminstantservice-8.50.2.0.153238C                            "Cannot get short path"
0141D703  push aminstantservice-8.50.2.0.15327A0                            "http"
0141D857  push aminstantservice-8.50.2.0.15327E8                            "//"
0141D9F4  push aminstantservice-8.50.2.0.15327EC                            "ftp"
0141DA02  push aminstantservice-8.50.2.0.15327F0                            "file"
0141DA10  push aminstantservice-8.50.2.0.15327F8                            "https"
0141DA1E  push aminstantservice-8.50.2.0.1532800                            "http"
0141DA2C  push aminstantservice-8.50.2.0.1532808                            "ws"
0141DAA6  push aminstantservice-8.50.2.0.153280C                            "text/plain"
0141DAB7  mov edx,aminstantservice-8.50.2.0.1532818                         ".html"
0141DAED  push aminstantservice-8.50.2.0.1532820                            "text/html"
0141DAFF  mov edx,aminstantservice-8.50.2.0.153282C                         ".htm"
0141DB33  push aminstantservice-8.50.2.0.1532834                            "text/html"
0141DB45  mov edx,aminstantservice-8.50.2.0.1532840                         ".text"
0141DB7D  push aminstantservice-8.50.2.0.1532848                            "text/plain"
0141DB8F  mov edx,aminstantservice-8.50.2.0.1532854                         ".txt"
0141DBC3  push aminstantservice-8.50.2.0.153285C                            "text/plain"
0141DBD5  mov edx,aminstantservice-8.50.2.0.1532868                         ".xml"
0141DC0D  push aminstantservice-8.50.2.0.1532870                            "text/xml"
0141DC1F  mov edx,aminstantservice-8.50.2.0.153287C                         ".js"
0141DC53  push aminstantservice-8.50.2.0.1532880                            "application/javascript"
0141DC65  mov ecx,aminstantservice-8.50.2.0.1532898                         ".json"
