Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
013C4097  push aminstantservice-8.50.2.0.152DF1C                            "windows_ie_ac"
013C46D2  push aminstantservice-8.50.2.0.152E068                            "wxp"
013C46E9  push aminstantservice-8.50.2.0.152E060                            "wxp64"
013C4700  push aminstantservice-8.50.2.0.152E058                            "wvista"
013C4717  push aminstantservice-8.50.2.0.152E054                            "w7"
013C472E  push aminstantservice-8.50.2.0.152E050                            "w8"
013C4745  push aminstantservice-8.50.2.0.152E04C                            "w81"
013C475C  push aminstantservice-8.50.2.0.152E048                            "w10"
013C4773  push aminstantservice-8.50.2.0.152E044                            "wx"
013C478A  push aminstantservice-8.50.2.0.152E03C                            "unknown"
013C47D9  push aminstantservice-8.50.2.0.152E03C                            "unknown"
013C47EA  push aminstantservice-8.50.2.0.152E070                            "x86_64"
013C47FB  push aminstantservice-8.50.2.0.152E06C                            "x86"
013C483A  push aminstantservice-8.50.2.0.152DF2C                            "pending-requests.json"
013C4B04  push aminstantservice-8.50.2.0.152DD78                            "string too long"
013C4B1B  push aminstantservice-8.50.2.0.152DD78                            "string too long"
013C4E3B  push aminstantservice-8.50.2.0.152DFAC                            "__ACTIVEMARK_INSTANT_PING_URL__"
013C4E7F  push aminstantservice-8.50.2.0.152DFCC                            "__ACTIVEMARK_INSTANT_PING_URL__"
013C4E8D  push aminstantservice-8.50.2.0.152DFEC                            "__ACTIVEMARK_INSTANT_PING_URL__"
013C4EA9  push aminstantservice-8.50.2.0.152E00C                            "http://www.gamehouse.com/gathering/insertwrd"
013C5507  push aminstantservice-8.50.2.0.152DF44                            "userid"
013C5575  push aminstantservice-8.50.2.0.152DF4C                            "deviceid"
013C55F1  push aminstantservice-8.50.2.0.152DF58                            "arch"
013C5684  push aminstantservice-8.50.2.0.152DF60                            "os"
013C5709  push aminstantservice-8.50.2.0.152DF64                            "browserversion"
013C5772  push aminstantservice-8.50.2.0.152DF80                            "component"
013C5780  push aminstantservice-8.50.2.0.152DF74                            "aminstant"
013C57E8  push aminstantservice-8.50.2.0.152DF8C                            "subcomponent"
013C585E  push aminstantservice-8.50.2.0.152DF9C                            "version"
013C5901  push aminstantservice-8.50.2.0.152DFA4                            "logtime"
013C5A38  push aminstantservice-8.50.2.0.152E43C                            "wscript.exe //E:JScript"
013C5A58  push aminstantservice-8.50.2.0.152E454                            " /B"
013C5AC6  push aminstantservice-8.50.2.0.152E458                            " /T:"
013C5B2D  push aminstantservice-8.50.2.0.152E460                            " \""
013C5EA2  push aminstantservice-8.50.2.0.152E0F4                            "contentid"
013C5EDC  push aminstantservice-8.50.2.0.152E100                            "install_path"
013C5F0F  push aminstantservice-8.50.2.0.152E110                            "executable_path"
013C5F42  push aminstantservice-8.50.2.0.152E120                            "tracking"
013C5F75  push aminstantservice-8.50.2.0.152E12C                            "name"
013C5FA8  push aminstantservice-8.50.2.0.152E134                            "installation_time"
013C6101  push aminstantservice-8.50.2.0.152E434                            ".dat"
013C63D4  push aminstantservice-8.50.2.0.152E148                            ".dat"
