Text strings referenced in ntdll.text
Address    Disassembly                               Text string
77AD79D9   MOV DWORD PTR SS[EBP-34],77AB8C3E        UNICODE LdrResFallbackLangList Enter
77AD79E4   MOV DWORD PTR SS[EBP-3C],77AB8C06        UNICODE LdrResFallbackLangList Exit
77AD7BC7   MOV DWORD PTR SS[EBP-8],77AB8B3C         UNICODE RtlpResUltimateFallbackInfo Enter
77AD7C6B   MOV DWORD PTR SS[EBP-48],77AB8712        UNICODE MUI
77AD7C95   MOV DWORD PTR SS[EBP-30],77AB8954        UNICODE LdrResGetRCConfig Enter
77AD7CAA   MOV DWORD PTR SS[EBP-38],77AB8926        UNICODE LdrResGetRCConfig Exit
77AD7EA1   PUSH 77AB8712                             UNICODE MUI
77AD7FFB   MOV EDI,77AD809C                          ASCII TpBindFileToDirect
77AD8000   MOV ESI,77AE9788                          ASCII dw7rtmminkernelthreadpoolntdllpool.c
77AD82F9   MOV ESI,77AB489E                          UNICODE .Local
77AD8673   PUSH 77AD83C0                             UNICODE {%08lx-%04x-%04x-%02x%02x-%02x%02x%02x%02x%02x%02x}
77AD91A9   MOV ESI,77ACA840                          UNICODE 
77ADB629   PUSH 77AB9CF6                             UNICODE %s
77ADB79F   PUSH 77AD83C0                             UNICODE {%08lx-%04x-%04x-%02x%02x-%02x%02x%02x%02x%02x%02x}
77ADBC35   PUSH 77AB9C7C                             UNICODE %u.%u.%u.%u
77ADCD2E   MOV EDI,77AB991A                          ASCII RtlValidateHeap
77ADD0D0   PUSH 77AB9C12                             UNICODE 
77ADD1C9   PUSH 77AB9C08                             UNICODE %x
77ADD2A4   PUSH 77AB9C6E                             UNICODE %%%u
77ADE85B   PUSH 77AB33F6                             ASCII SE_InstallBeforeInit
77ADE88B   PUSH 77AB33E2                             ASCII SE_InstallAfterInit
77ADE8B6   PUSH 77AB33D4                             ASCII SE_DllLoaded
77ADE8E1   PUSH 77AB33C4                             ASCII SE_DllUnloaded
77ADE90C   PUSH 77AB33B0                             ASCII SE_LdrEntryRemoved
77ADE937   PUSH 77AB339A                             ASCII SE_GetProcAddressLoad
77ADE962   PUSH 77AB338A                             ASCII SE_ProcessDying
77ADEAB8   MOV EDX,77B9021C                          ASCII xE
77ADECA9   PUSH 77AB9C6E                             UNICODE %%%u
77ADEF4B   MOV ESI,77ADEF84                          UNICODE .
77AE044A   MOV EBX,77AE04BC                          ASCII TppWaiterEnqueueTransition
77AE044F   MOV EDI,77AD4194                          ASCII dw7rtmminkernelthreadpoolntdllwaiter.c
77AE05EA   MOV ESI,77AD4168                          ASCII dw7rtmminkernelthreadpoolntdllwait.c
77AE05FC   MOV EDI,77AE02F8                          ASCII TppWaitpValidateWait
77AE0840   MOV EDI,77AE0674                          ASCII TppWaiterAllocWaitSlot
77AE0845   MOV ESI,77AD4194                          ASCII dw7rtmminkernelthreadpoolntdllwaiter.c
77AE0CA9   MOV EDI,77AB3C6E                          ASCII LdrpInitializeProcess
77AE0CAE   MOV ESI,77AB3010                          ASCII dw7rtmminkernelntdllldrinit.c
77AE0FA7   PUSH 77AB3A80                             UNICODE !Process
77AE0FAC   PUSH 77AB3A72                             UNICODE NTDLL!
77AE1023   PUSH 7FFE0030                             UNICODE CWindows
77AE18FA   PUSH 77AB3F66                             UNICODE SoftwarePoliciesMicrosoftWindowsSaferCodeIdentifiers
77AE1B21   PUSH 77AB9164                             UNICODE ntdll.dll
77AE1E32   PUSH 77AB38EA                             UNICODE SysWOW64
77AE1E96   MOV EDI,77B9021C                          ASCII xE
77AE25D8   PUSH 77AE2660                             UNICODE Cleanup Group
77AE25DD   PUSH 77AE2644                             UNICODE Threadpool!
77AE28CA   MOV DWORD PTR SS[EBP-D8],77AB3CD8        ASCII BaseQueryModuleData
77AE2916   MOV EAX,77B9021C                          ASCII xE
77AE3CFD   PUSH 77ABA6CC                             UNICODE AlternateCodePage
77AE3E28   PUSH 77AB9518                             UNICODE RegistryMachineSystemCurrentControlSetControlNLSLanguage
77AE3E56   PUSH 77AB94E8                             UNICODE InstallLanguageFallback
77AE405A   PUSH 77ABA930                             UNICODE SoftwarePoliciesMicrosoftControl PanelDesktop
77AE4591   PUSH 77AB9214                             UNICODE Control PanelDesktopMuiCached
77AE45BC   PUSH 77AB91DC                             UNICODE MachinePreferredUILanguages
77AE465E   PUSH 77ABA8BA                             UNICODE RegistryMachineSoftwarePoliciesMicrosoftMUISettings
77AE46D8   PUSH 77AB94BC                             UNICODE Control PanelDesktop
77AE4709   MOV EAX,77AB9254                          UNICODE PreferredUILanguages
77AE4BE9   PUSH 77ABA890                             UNICODE WindowsExcludedProcs
77AE4C0E   PUSH 77ABA85C                             UNICODE Kernel-MUI-Number-Allowed
77AE4C4F   PUSH 77ABA824                             UNICODE Kernel-MUI-Language-Allowed
77AE4D3C   PUSH 77ABA7E2                             UNICODE Kernel-MUI-Language-Disallowed
77AE4E24   PUSH 77ABA7B2                             UNICODE Kernel-MUI-Language-SKU
77AE4F98   PUSH 77ABA99E                             UNICODE Control PanelDesktopMuiCachedMachineLanguageConfiguration
77AE4FBF   PUSH 77AB97C4                             UNICODE RegistryMachineSystemCurrentControlSetControlMUISettingsLanguageConfiguration
77AE5016   PUSH 77ABA8BA                             UNICODE RegistryMachineSoftwarePoliciesMicrosoftMUISettings
77AE5075   PUSH 77ABA930                             UNICODE SoftwarePoliciesMicrosoftControl PanelDesktop
77AE509C   PUSH 77ABAA18                             UNICODE Control PanelDesktopLanguageConfiguration
77AE5268   PUSH 77AB9398                             UNICODE RegistryMachineSystemCurrentControlSetControlMUIUILanguages
77AE532D   PUSH 77ABA994                             UNICODE Type
77AE56D4   PUSH 77ABA710                             UNICODE RegistryMachineSystemCurrentControlSetControlMUIUILanguagesPendingDelete
77AE5FB2   MOV EDI,77AE5FEC                          ASCII TpDisablePoolCallbackChecks
77AE5FB7   MOV ESI,77AE9788                          ASCII dw7rtmminkernelthreadpoolntdllpool.c
77AE80F7   MOV ESI,77AE8130                          UNICODE .Local
77AE818F   MOV ESI,77AB7C1E                          UNICODE WinSxS
77AE8B0E   CMP EBX,77AD0E90                          ASCII Actx 
77AE8CDB   PUSH 77AB6714                             ASCII SXS Activation context data at %p has invalid TOC entry array offset

77AE8CE6   PUSH 77AB66D2                             ASCII SXS Activation context data at %p has invalid TOC header offset

77AE8CF1   PUSH 77AB663A                             ASCII SXS Activation context data at %p has invalid assembly roster offset

77AE8CFC   PUSH 77AB65F6                             ASCII SXS Warning Activation context data at %p lacks assembly roster

77AE8D07   PUSH 77AB65B4                             ASCII SXS Warning Activation context data at %p missing default TOC

77AE8F45   CMP EBX,77B9021C                          ASCII xE
77AE9C1C   PUSH 77AB6254                             UNICODE RegistryMachineSoftwarePoliciesMicrosoftSQMClientWindows
77AE9C82   PUSH 77AB623E                             UNICODE CEIPEnable
